,actual_price
Fast wifi \u2013 595 Mbps,0.05174306495237472
Baby bath - always at the listing,0.05098804857316202
Children\u2019s books and toys for ages 5-10 years old and 10+ years old,0.05098804857316202
Oven,0.04895933474204273
Pool table,0.04874646685335935
Hammock,0.04852810483689574
Standalone high chair - available upon request,0.047967983056311295
Free driveway parking on premises \u2013 2 spaces,0.04745265951375297
Shared backyard \u2013 Not fully fenced,0.046473660271072054
HBO Max,0.04374901396690264
Fast wifi \u2013 226 Mbps,0.04343788478103517
Fireplace guards,0.04259685160589475
neighbourhood_cleansed_TWELFTH WARD,0.04127850098684642
Clothing storage: walk-in closet and closet,0.04046129053338947
GE gas stove,0.03827648772702599
Heating - split type ductless system,0.035891237442278276
Bluetooth sound system,0.03415343775104697
Mosquito net,0.033551401144515776
Rice maker,0.03346606433513441
Blender,0.03230877367705007
Clothing storage: walk-in closet,0.03154182821334434
Gym in building,0.030502251501109
Frigidaire refrigerator,0.029974237062844276
Exercise equipment: stationary bike,0.029967731460935766
Indoor fireplace: gas,0.029285431486435278
Air conditioning,0.029182226142173348
Housekeeping - available at extra cost,0.026570439452459568
Pocket wifi,0.023856789205026294
availability_365,0.023789749630391533
Free parking on premises \u2013 2 spaces,0.021542409783867063
Coffee maker: Keurig coffee machine,0.021238502459165025
TRESemme 4+4  conditioner,0.017767327887803653
Fast wifi \u2013 332 Mbps,0.017767327887803653
Sonos sound system,0.017767327887803653
Pack \u2019n play/Travel crib - always at the listing,0.016733539955128742
Clothing storage: closet and wardrobe,0.016604730456604707
Park view,0.015267008461653615
Ginger Lily Farms shampoo,0.01446665029591177
Haier refrigerator,0.01446665029591177
host_is_superhost_t,0.013113412525177857
Coffee maker: drip coffee maker,0.011252354827925406
Unscented natural eco friendly  conditioner,0.010217164095676749
Unscented natural eco friendly  shampoo,0.010217164095676749
Unscented eco friendly  body soap,0.010217164095676749
Free driveway parking on premises \u2013 1 space,0.0090460720629917
GE stainless steel oven,0.008052409813832869
Single level home,0.007532020971274105
Waterfront,0.007517889773659687
Portable air conditioning,0.006427197231907905
Free residential garage on premises \u2013 1 space,0.005687065820400585
Fast wifi \u2013 63 Mbps,0.004932049441187971
Fast wifi \u2013 117 Mbps,0.003422016682762541
Free dryer \u2013 In building,0.0028157356558984195
HDTV with standard cable,0.002667000303549922
TRESemme 4+4 conditioner,0.0026670003035498603
Fast wifi \u2013 219 Mbps,0.0026670003035498603
Boston acoustics  sound system,0.0026670003035498546
pool toys,0.0026670003035498546
Paid parking lot on premises,0.0026670003035498546
heated,0.0026670003035498546
Shared outdoor pool - available seasonally,0.0026670003035498546
Wolf electric stove,0.0026670003035498546
Standalone high chair,0.0026670003035498464
Crib - available upon request,0.0024457217026631595
Paid parking lot off premises,0.0022711689706198554
Sound system,0.001933565554881195
neighbourhood_cleansed_FOURTH WARD,0.001895603774388658
HDTV with HBO Max,0.0015645703986163005
Viking  stainless steel gas stove,0.0011569675451244894
Paid parking lot on premises \u2013 1 space,0.0011569675451244894
Olay  body soap,0.0011569675451244728
Suave shampoo,0.0011036492915807148
Suave conditioner,0.0011036492915807148
Amana oven,-0.00035306521330090207
Amana stove,-0.00035306521330090207
LG electric stove,-0.0011080815925135618
Frigidaire  stove,-0.0011080815925135863
GE oven,-0.0011080815925135863
GE conditioner,-0.0011080815925135863
Fast wifi \u2013 478 Mbps,-0.0011080815925135984
host_response_rate,-0.0011616271144244466
Frigidaire  refrigerator,-0.001486923348791332
Dove or Yardley London body soap,-0.0018630979717262411
Beauty,-0.0018630979717262535
& Planet body soap,-0.0018630979717262535
Love,-0.0018630979717262535
Hockey rink,-0.00210347094945877
Stainless steel single oven,-0.0025667086590311626
Generic conditioner,-0.002618114350938969
Generic shampoo,-0.002618114350938969
Washer \u2013\u00a0In building,-0.0027978050326095466
Free washer \u2013 In building,-0.002927471240517283
Fast wifi \u2013 171 Mbps,-0.0033731307301516577
sentiment,-0.003755742903953958
Ping pong table,-0.004128147109364373
Dove  body soap,-0.004241551110151698
Freezer,-0.004429183561994023
neighbourhood_cleansed_SIXTH WARD,-0.004751375251748986
Dryer,-0.006257216096508478
Coffee maker: french press,-0.008002452018443943
neighbourhood_cleansed_THIRTEENTH WARD,-0.008274114877564007
Free dryer,-0.008478292329154818
Head & Shoulder  shampoo,-0.008658245384640526
Fast wifi \u2013 549 Mbps,-0.008658245384640526
GE stainless steel single oven,-0.008658245384640526
GE electric stove,-0.008658245384640526
Whirlpool refrigerator,-0.008658245384640538
Clothing storage: closet and dresser,-0.008887367965283477
Gas stove,-0.009014557379991564
Heating,-0.009143738885986961
Irish Spring body soap,-0.009413261763853178
Head & Shoulders shampoo,-0.009413261763853178
Outdoor playground,-0.009413261763853188
Google Soeakers Bluetooth sound system,-0.009413261763853188
Stainless steel stove,-0.009413261763853188
Paid parking lot on premises \u2013 20 spaces,-0.009413261763853188
Free parking on premises \u2013 4 spaces,-0.009413261763853233
Suave body soap,-0.010121271552057389
neighbourhood_cleansed_TENTH WARD,-0.010406806782273039
Smoking allowed,-0.010726375350579938
GE refrigerator,-0.011190311632403832
Bed linens,-0.011941381787562001
Fast wifi \u2013 274 Mbps,-0.012433327280703947
TV with Roku,-0.012453871343689728
Samsung electric stove,-0.013188343659916684
Samsung single oven,-0.013188343659916684
Fridgeair refrigerator,-0.013188343659916684
Samsung stainless steel oven,-0.013862911833270026
TV with Fire TV,-0.013943360039129327
Pool view,-0.014931951913616508
Clothing storage: wardrobe and dresser,-0.01503270074824557
Viking stainless steel oven,-0.015466471953789786
Portable fans,-0.015860081262209703
Washer,-0.016069925152929952
